x,y,token
42.52803421020508,-13.549238204956055,cabman
4.449859619140625,25.206480026245117,legal
-32.655174255371094,19.087156295776367,rob
-29.25731086730957,-33.37920379638672,idols
19.926288604736328,-36.26232147216797,beating
-26.478076934814453,-41.168357849121094,statute
-43.20097732543945,8.319034576416016,committeth
18.320499420166016,3.3209798336029053,voyages
39.91225051879883,7.648227691650391,guinea
-0.6589121222496033,7.34401273727417,monstrous
-45.125789642333984,-28.513629913330078,province
-12.291044235229492,-41.95724868774414,speckled
10.16269302368164,-9.599498748779297,mariner
4.360642433166504,5.57036828994751,plight
9.17030143737793,7.89681339263916,picturesque
-1.9460668563842773,26.85748291015625,true
21.9332332611084,-6.046706199645996,larger
-39.1660041809082,36.77349090576172,businesse
-7.52039098739624,-45.78355407714844,clusters
36.289363861083984,22.82233428955078,birthday
